date,family,sales,transactions,holiday_count,holiday_Additional,holiday_Bridge,holiday_Event,holiday_Holiday,holiday_Transfer,holiday_Work Day,year,month,quarter,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_6,sales_lag_12,rolling_mean_3,rolling_mean_6,rolling_mean_12,rolling_std_3,rolling_std_6
2014-01-01,AUTOMOTIVE,8491.0,2393528.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2014,1,1,8411.0,7166.0,6803.0,8508.0,6557.0,7460.0,7680.166666666667,7693.583333333333,843.352239577272,763.0631472340067
2014-02-01,AUTOMOTIVE,7563.0,2278167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2,1,8491.0,8411.0,7166.0,8164.0,7220.0,8022.666666666667,7677.333333333333,7854.75,742.9726329639159,759.3973048850434
2014-03-01,AUTOMOTIVE,10115.0,2545427.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2014,3,1,7563.0,8491.0,8411.0,7029.0,7635.0,8155.0,7577.166666666667,7883.333333333333,514.2450777596224,721.0338179771235
2014-04-01,AUTOMOTIVE,8426.0,2455666.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2014,4,2,10115.0,7563.0,8491.0,6803.0,7485.0,8723.0,8091.5,8090.0,1291.721332176565,1196.0206938009057
2014-05-01,AUTOMOTIVE,8075.0,2503262.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,2014,5,2,8426.0,10115.0,7563.0,7166.0,9034.0,8701.333333333334,8362.0,8168.416666666667,1298.0879528496262,1016.3625337447262
2014-06-01,AUTOMOTIVE,8230.0,2399144.0,8.0,0.0,0.0,6.0,2.0,0.0,0.0,2014,6,2,8075.0,8426.0,10115.0,8411.0,8311.0,8872.0,8513.5,8088.5,1090.681896796678,857.811576046861
2014-07-01,AUTOMOTIVE,9481.0,2442341.0,11.0,1.0,0.0,7.0,3.0,0.0,0.0,2014,7,3,8230.0,8075.0,8426.0,8491.0,8508.0,8243.666666666666,8483.333333333334,8081.75,175.8986450582632,865.2871585009603
2014-08-01,AUTOMOTIVE,9309.0,2537572.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2014,8,3,9481.0,8230.0,8075.0,7563.0,8164.0,8595.333333333334,8648.333333333334,8162.833333333333,770.9152569078743,956.6127046337331
2014-09-01,AUTOMOTIVE,9229.0,2449131.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2014,9,3,9309.0,9481.0,8230.0,10115.0,7029.0,9006.666666666666,8939.333333333334,8258.25,678.0887355894768,815.596141890498
2014-10-01,AUTOMOTIVE,9933.0,2503310.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2014,10,4,9229.0,9309.0,9481.0,8426.0,6803.0,9339.666666666666,8791.666666666666,8441.583333333334,128.76852617520973,615.9330050148842
2014-11-01,AUTOMOTIVE,9452.0,2450298.0,8.0,0.0,0.0,1.0,7.0,0.0,0.0,2014,11,4,9933.0,9229.0,9309.0,8075.0,7166.0,9490.333333333334,9042.833333333334,8702.416666666666,385.44173792330196,733.1151114706781
2014-12-01,AUTOMOTIVE,10709.0,3049083.0,11.0,5.0,1.0,1.0,4.0,0.0,1.0,2014,12,4,9452.0,9933.0,9229.0,8230.0,8411.0,9538.0,9272.333333333334,8892.916666666666,359.79299604078176,566.0359234771803
2015-01-01,AUTOMOTIVE,9103.0,2489059.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2015,1,1,10709.0,9452.0,9933.0,9481.0,8491.0,10031.333333333334,9685.5,9084.416666666666,634.2431184753485,557.7267251979207
2015-02-01,AUTOMOTIVE,9194.0,2345984.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2015,2,1,9103.0,10709.0,9452.0,9309.0,7563.0,9754.666666666666,9622.5,9135.416666666666,844.6977763279211,604.8086474249496
2015-03-01,AUTOMOTIVE,11554.0,2625500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2015,3,1,9194.0,9103.0,10709.0,9229.0,10115.0,9668.666666666666,9603.333333333334,9271.333333333334,902.1032830742467,618.4000862440623
2015-04-01,AUTOMOTIVE,9047.0,2533355.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2015,4,2,11554.0,9194.0,9103.0,9933.0,8426.0,9950.333333333334,9990.833333333334,9391.25,1389.5612017228077,967.070921218637
2015-05-01,AUTOMOTIVE,9329.0,2673911.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,2015,5,2,9047.0,11554.0,9194.0,9452.0,8075.0,9931.666666666666,9843.166666666666,9443.0,1406.9031001932337,1042.379473448448
2015-06-01,AUTOMOTIVE,9783.0,2530903.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2015,6,2,9329.0,9047.0,11554.0,10709.0,8230.0,9976.666666666666,9822.666666666666,9547.5,1373.2684855239825,1052.7686672135828
2015-07-01,AUTOMOTIVE,10555.0,2604784.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2015,7,3,9783.0,9329.0,9047.0,9103.0,9481.0,9386.333333333334,9668.333333333334,9676.916666666666,371.3345302194932,960.6959283075284
2015-08-01,AUTOMOTIVE,11156.0,2675057.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2015,8,3,10555.0,9783.0,9329.0,9194.0,9309.0,9889.0,9910.333333333334,9766.416666666666,619.8354620381108,972.6124956356788
2015-09-01,AUTOMOTIVE,9699.0,2545252.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2015,9,3,11156.0,10555.0,9783.0,11554.0,9229.0,10498.0,10237.333333333334,9920.333333333334,688.2724751143244,1012.6058792376543
2015-10-01,AUTOMOTIVE,13483.0,2610484.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2015,10,4,9699.0,11156.0,10555.0,9047.0,9933.0,10470.0,9928.166666666666,9959.5,732.2096694253622,788.6115435793868
2015-11-01,AUTOMOTIVE,11777.0,2528193.0,9.0,0.0,0.0,2.0,7.0,0.0,0.0,2015,11,4,13483.0,9699.0,11156.0,9329.0,9452.0,11446.0,10667.5,10255.333333333334,1908.5960808929683,1529.0679187008
